,Link,Class,RGInt
A02,doi.org/10.1016/j.geomorph.2023.108638 ,1,3303
A04,doi.org/10.1016/j.catena.2020.105067,0,4301
A05,doi.org/10.1016/j.catena.2023.107241,1,3303
A06,doi.org/10.1016/j.jsames.2020.103011 ,0,3511
A07,doi.org/10.1016/j.jsames.2024.104805 ,1,3502
A08,doi.org/10.1016/j.jsames.2024.105272,1,3501
A09,doi.org/10.1016/j.jsames.2025.105509 ,2,3303
A11,doi.org/10.1016/j.jsames.2025.105812 ,3,2601
A12,doi.org/10.1016/j.envsoft.2019.104565 ,3,4301
A13,doi.org/10.1016/j.nhres.2024.10.003 ,2,3511
A14,doi.org/10.1016/j.nhres.2024.11.005,2,3511
A15,doi.org/10.1016/j.nhres.2025.01.008 ,0,3303
A16,doi.org/10.1007/s10064-018-1341-3 ,0,3107
A16,doi.org/10.1007/s10064-018-1341-3 ,0,3101
A17,doi.org/10.15446/esrj.v22n4.68553,0,3101
A18,doi.org/10.1007/s12665-018-7436-0,0,3501
A19,doi.org/10.1007/s11069-020-03997-8,0,4301
A20,doi.org/10.11137/2019_2_407_420 ,0,3501
A21,doi.org/10.28927/SR.2021.051420 ,0,2601
A22,doi.org/10.1007/s11069-021-04638-4 ,0,3101
A23,doi.org/10.1007/s10346-016-0783-6 ,0,3303
A24,doi.org/10.1007/s11069-024-06956-9 ,0,3201
A25,doi.org/10.1007/s11069-025-07694-2 ,0,4303
A26,doi.org/10.28927/SR.2021.070721 ,0,4101
A27,doi.org/10.3390/geomatics5040049 ,3,3301
A28,doi.org/10.3390/geosciences15030077 ,2,3502
A29,doi.org/10.3390/ijgi14090330 ,1,3303
A30,doi.org/10.1007/s10706-024-03024-8 ,1,3511
A31,doi.org/10.1007/s11069-021-04991-4 ,1,3501
A32,doi.org/10.5016/geociencias.v41i1.16290 ,0,3511
A34,doi.org/10.20502/rbgeomorfologia.v25i4.2584 ,0,3101
A35,doi.org/10.1007/s11629-021-7057-z ,0,3502
A36,doi.org/10.1590/0001-3765202120180897 ,0,3101
A37,doi.org/10.1007/s10706-025-03418-2 ,1,2105
A38,doi.org/10.1080/10106049.2022.2109761 ,0,4207
A40,doi.org/10.1007/s11069-021-04547-6 ,1,4301
A41,doi.org/10.1007/s10346-018-1052-7 ,0,4207
A42,doi.org/10.20502/rbg.v23i2.2084 ,0,3501
A43,doi.org/10.1007/s11069-016-2300-6 ,0,3303
A44,doi.org/10.1007/s41651-023-00138-0 ,0,3101
A45,doi.org/10.1007/s11069-019-03795-x ,0,4306
A46,doi.org/10.1007/s10064-021-02557-z ,0,3303
A48,doi.org/10.1590/2317-4889202320220040 ,0,3101
A49,doi.org/10.1007/s11069-019-03691-4 ,0,3511
A50,doi.org/10.1007/s11069-021-04676-y ,1,3511
A52,doi.org/10.3390/rs17193337,1,3303
B02,doi.org/10.1016/j.compgeo.2024.106913 ,1,3303
B04,doi.org/10.20502/rbgeomorfologia.v25i2.2491,3,3511
B07,doi.org/10.20502/rbg.v18i4.1117 ,0,4301
B08,doi.org/10.20502/rbg.v27i1.2714,0,3511
B09,doi.org/10.1007/s11069-024-06576-3 ,0,3101
C01,doi.org/10.11137/1982-3908_2024_47_62979,1,3303
A01,doi.org/10.1016/j.apgeog.2021.102598,0,4202
A01,doi.org/10.1016/j.apgeog.2021.102598,0,4307
A03,doi.org/10.1016/j.catena.2019.104240 ,0,4301
A03,doi.org/10.1016/j.catena.2019.104240 ,0,3301
A10,doi.org/10.1016/j.jsames.2025.105582 ,1,2304
A33,doi.org/10.1007/s12665-019-8750-x ,0,3301
A33,doi.org/10.1007/s12665-019-8750-x ,0,3511
A39,doi.org/10.1080/02626667.2025.2561163 ,3,4307
A47,doi.org/10.3390/rs12111826 ,0,3303
A51,doi.org/10.1007/s11069-025-07478-8,0,4301
A51,doi.org/10.1007/s11069-025-07478-8,0,4202
B05,doi.org/10.3390/geohazards2040021 ,1,4307
B06,doi.org/10.1080/19475705.2025.2471019 ,1,3303
B10,doi.org/10.1080/10106049.2022.2144475 ,0,4202
B10,doi.org/10.1080/10106049.2022.2144475 ,0,4307
